Geography,geoid10,Geographic Area Name,med_hh_inc,dollars
1400000US17031222600,17031222600,"Census Tract 2226, Cook County, Illinois",75078,"$75,078"
1400000US17031222700,17031222700,"Census Tract 2227, Cook County, Illinois",75943,"$75,943"
1400000US17031222800,17031222800,"Census Tract 2228, Cook County, Illinois",80850,"$80,850"
1400000US17031222900,17031222900,"Census Tract 2229, Cook County, Illinois",74940,"$74,940"
1400000US17031230100,17031230100,"Census Tract 2301, Cook County, Illinois",84583,"$84,583"
1400000US17031230200,17031230200,"Census Tract 2302, Cook County, Illinois",64844,"$64,844"
1400000US17031230300,17031230300,"Census Tract 2303, Cook County, Illinois",52557,"$52,557"
1400000US17031230400,17031230400,"Census Tract 2304, Cook County, Illinois",76286,"$76,286"
1400000US17031230500,17031230500,"Census Tract 2305, Cook County, Illinois",24250,"$24,250"
1400000US17031230600,17031230600,"Census Tract 2306, Cook County, Illinois",50603,"$50,603"
1400000US17031230700,17031230700,"Census Tract 2307, Cook County, Illinois",42891,"$42,891"
1400000US17031230800,17031230800,"Census Tract 2308, Cook County, Illinois",61111,"$61,111"
1400000US17031230900,17031230900,"Census Tract 2309, Cook County, Illinois",60337,"$60,337"
1400000US17031231100,17031231100,"Census Tract 2311, Cook County, Illinois",55714,"$55,714"
1400000US17031231200,17031231200,"Census Tract 2312, Cook County, Illinois",39042,"$39,042"
1400000US17031231500,17031231500,"Census Tract 2315, Cook County, Illinois",30341,"$30,341"
1400000US17031240200,17031240200,"Census Tract 2402, Cook County, Illinois",144659,"$144,659"
1400000US17031240300,17031240300,"Census Tract 2403, Cook County, Illinois",139432,"$139,432"
1400000US17031240500,17031240500,"Census Tract 2405, Cook County, Illinois",167768,"$167,768"
1400000US17031240600,17031240600,"Census Tract 2406, Cook County, Illinois",144286,"$144,286"
1400000US17031240700,17031240700,"Census Tract 2407, Cook County, Illinois",93534,"$93,534"
1400000US17031240800,17031240800,"Census Tract 2408, Cook County, Illinois",91964,"$91,964"
1400000US17031240900,17031240900,"Census Tract 2409, Cook County, Illinois",66250,"$66,250"
1400000US17031241000,17031241000,"Census Tract 2410, Cook County, Illinois",80000,"$80,000"
1400000US17031241100,17031241100,"Census Tract 2411, Cook County, Illinois",82830,"$82,830"
1400000US17031241200,17031241200,"Census Tract 2412, Cook County, Illinois",116346,"$116,346"
1400000US17031241300,17031241300,"Census Tract 2413, Cook County, Illinois",158750,"$158,750"
1400000US17031241400,17031241400,"Census Tract 2414, Cook County, Illinois",149792,"$149,792"
1400000US17031241500,17031241500,"Census Tract 2415, Cook County, Illinois",158750,"$158,750"
1400000US17031241600,17031241600,"Census Tract 2416, Cook County, Illinois",107031,"$107,031"
1400000US17031242000,17031242000,"Census Tract 2420, Cook County, Illinois",133017,"$133,017"
1400000US17031242100,17031242100,"Census Tract 2421, Cook County, Illinois",177356,"$177,356"
1400000US17031242200,17031242200,"Census Tract 2422, Cook County, Illinois",147206,"$147,206"
1400000US17031242300,17031242300,"Census Tract 2423, Cook County, Illinois",94670,"$94,670"
1400000US17031242400,17031242400,"Census Tract 2424, Cook County, Illinois",94659,"$94,659"
1400000US17031242500,17031242500,"Census Tract 2425, Cook County, Illinois",79722,"$79,722"
1400000US17031242600,17031242600,"Census Tract 2426, Cook County, Illinois",80217,"$80,217"
1400000US17031242700,17031242700,"Census Tract 2427, Cook County, Illinois",65781,"$65,781"
1400000US17031242800,17031242800,"Census Tract 2428, Cook County, Illinois",127813,"$127,813"
1400000US17031242900,17031242900,"Census Tract 2429, Cook County, Illinois",122857,"$122,857"
1400000US17031243000,17031243000,"Census Tract 2430, Cook County, Illinois",106250,"$106,250"
1400000US17031243100,17031243100,"Census Tract 2431, Cook County, Illinois",103750,"$103,750"
1400000US17031243200,17031243200,"Census Tract 2432, Cook County, Illinois",118553,"$118,553"
1400000US17031243300,17031243300,"Census Tract 2433, Cook County, Illinois",115855,"$115,855"
1400000US17031243400,17031243400,"Census Tract 2434, Cook County, Illinois",101450,"$101,450"
1400000US17031243500,17031243500,"Census Tract 2435, Cook County, Illinois",148646,"$148,646"
1400000US17031250200,17031250200,"Census Tract 2502, Cook County, Illinois",55208,"$55,208"
1400000US17031250300,17031250300,"Census Tract 2503, Cook County, Illinois",42935,"$42,935"
1400000US17031250400,17031250400,"Census Tract 2504, Cook County, Illinois",47500,"$47,500"
