item,date,p_mean,p_75,p_median,p_25,iqr,ratio
Televsion 40' or greater,2021-01-01,489.54,549,399,319,230,1.721003135
Top 10 Fiction paperpack,2021-01-01,6.243466,7.49,5.99,5,2.49,1.498
Computer Game 3,2021-02-01,40.14154,50,49.99,22,28,2.272727273
Home office desk,2021-02-01,305.398,350,250,65,285,5.384615385
Televsion 40' or greater,2021-02-01,524.2814,562,449.945,379,183,1.482849604
Top 10 Fiction paperpack,2021-02-01,6.412488,7.49,6.29,5.99,1.5,1.250417362
Computer Game 3,2021-03-01,49.73125,50,49.99,49.99,0.01,1.00020004
Home office desk,2021-03-01,319.5892,350,129,65,285,5.384615385
Televsion 40' or greater,2021-03-01,506.1154,599,449,379,220,1.580474934
Top 10 Fiction paperpack,2021-03-01,6.234433,7.49,5.99,5,2.49,1.498
Computer Game 3,2021-04-01,32.9875,39,31.5,20,19,1.95
Home office desk,2021-04-01,301.3843,323,194.5,65,258,4.969230769
Televsion 40' or greater,2021-04-01,486.117,499,449,378,121,1.32010582
Top 10 Fiction paperpack,2021-04-01,6.654492,7.49,7.37,5,2.49,1.498
Computer Game 3,2021-05-01,31.99885,49.99,20,20,29.99,2.4995
Home office desk,2021-05-01,335.1395,399,129,65,334,6.138461538
Televsion 40' or greater,2021-05-01,499.7744,499,469,379,120,1.316622691
Top 10 Fiction paperpack,2021-05-01,7.490118,8.99,8.99,5,3.99,1.798
Computer Game 3,2021-06-01,31.20483,49.99,21.99,17,32.99,2.940588235
Home office desk,2021-06-01,336.3314,350,199,70,280,5
Televsion 40' or greater,2021-06-01,457.4079,499.495,399,359.495,140,1.38943518
Top 10 Fiction paperpack,2021-06-01,6.906161,8.99,7.49,4.5,4.49,1.997777778
Computer Game 3,2021-07-01,27.96214,36,25.495,17,19,2.117647059
Home office desk,2021-07-01,335.97,350,199,70,280,5
Televsion 40' or greater,2021-07-01,488.7067,549.995,429,379,170.995,1.451174142
Top 10 Fiction paperpack,2021-07-01,6.859404,8.99,7.49,4.5,4.49,1.997777778
Computer Game 3,2021-08-01,36.45769,49.99,30,29,20.99,1.723793103
Home office desk,2021-08-01,345.1433,370,199,79.99,290.01,4.625578197
Televsion 40' or greater,2021-08-01,521.4193,579,449,379,200,1.527704485
Top 10 Fiction paperpack,2021-08-01,7.059009,8.99,7.49,4.5,4.49,1.997777778
Computer Game 3,2021-09-01,33.35571,37.5,30,29,8.5,1.293103448
Home office desk,2021-09-01,366.3425,399,258.5,70,329,5.7
