tract,cz,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_percent,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_percent,jail_pooled_pooled_p25_se,pooled_pooled_count
30500,24300,0.41833013,41.8%,0.012780463,0.015728926,1.6%,0.006464237,1195.9529
30601,24300,0.40667883,40.7%,0.01596955,0.002235836,0.2%,0.006485198,432.41101
30603,24300,0.37904939,37.9%,0.01651435,0.018301278,1.8%,0.012232915,255.51753
30604,24300,0.43178016,43.2%,0.023061233,0.000117797,0.0%,0.0092789,262.32336
30701,24300,0.35771015,35.8%,0.01976661,0.02607223,2.6%,0.027241819,162.24124
30702,24300,0.38610452,38.6%,0.03736411,0.060555447,6.1%,0.043745972,114.49403
30703,24300,0.32960993,33.0%,0.013369077,0.053186186,5.3%,0.018367851,267.61188
30706,24300,0.40636095,40.6%,0.018794209,0.035661366,3.6%,0.015242347,320.83301
30800,24300,0.44182697,44.2%,0.025047943,-0.000344499,0.0%,0.007227119,292.04263
30900,24300,0.4382048,43.8%,0.021073448,-0.003237243,-0.3%,0.007153892,365.22443
31000,24300,0.38229591,38.2%,0.014941031,0.011727632,1.2%,0.007868236,588.19086
31100,24300,0.47584727,47.6%,0.016209746,0.008747105,0.9%,0.006406516,560.62067
31200,24300,0.38291195,38.3%,0.010498264,0.015223728,1.5%,0.007769285,1396.3336
31300,24300,0.39750668,39.8%,0.013366713,0.01326157,1.3%,0.006775479,660.0722
31400,24300,0.40291193,40.3%,0.035226986,0.036265496,3.6%,0.027631355,117.40063
31501,24300,0.42026535,42.0%,0.013916242,0.004662527,0.5%,0.005088438,978.20245
31502,24300,0.36457905,36.5%,0.010867833,0.031720608,3.2%,0.009144581,1105.3547
31700,24300,0.36375821,36.4%,0.010704761,0.023576859,2.4%,0.008557547,1220.1422
31800,24300,0.36238071,36.2%,0.021090949,0.021366658,2.1%,0.016611939,229.60989
31900,24300,0.42005718,42.0%,0.023577383,0.021797916,2.2%,0.014973273,283.18286
32100,24300,0.3561351,35.6%,0.012739601,0.03941096,3.9%,0.012559819,797.44519
40100,24300,0.4825944,48.3%,0.020065526,0.001232703,0.1%,0.006223643,572.60638
40201,24300,0.44890413,44.9%,0.014044031,0.016454704,1.6%,0.006700034,1003.1193
40202,24300,0.48576567,48.6%,0.012941037,0.006391466,0.6%,0.00404949,1224.0219
40300,24300,0.47644219,47.6%,0.028301524,0.001047257,0.1%,0.007261428,295.38602
40401,24300,0.39258268,39.3%,0.022716479,0.003870775,0.4%,0.007524857,310.03906
40402,24300,0.4456065,44.6%,0.014791663,0.019638307,2.0%,0.008636465,679.8645
40600,24300,0.44207147,44.2%,0.030364765,0.014358839,1.4%,0.01670366,216.66408
40700,24300,0.41472331,41.5%,0.019294117,0.020856412,2.1%,0.011859111,449.42191
40800,24300,0.50477588,50.5%,0.042681284,-0.002979325,-0.3%,0.015439834,107.65227
40900,24300,0.46214724,46.2%,0.033670601,0.009521297,1.0%,0.016330399,137.74516
50100,24300,0.40442812,40.4%,0.032786995,0.047583424,4.8%,0.030717418,130.08453
50200,24300,0.41588122,41.6%,0.02374565,0.012812642,1.3%,0.00967233,305.31204
50300,24300,0.45575809,45.6%,0.032714039,0.021477472,2.1%,0.017861713,166.17168
50500,24300,0.5124982,51.2%,0.032541119,0.009944296,1.0%,0.011142163,232.37886
50600,24300,0.43702313,43.7%,0.049710754,0.015165813,1.5%,0.029273845,81.44326
50700,24300,0.37929514,37.9%,0.045787994,-0.000806676,-0.1%,0.025866246,108.07274
50800,24300,0.37306017,37.3%,0.041242208,0.009647952,1.0%,0.028805077,92.722603
50900,24300,0.41261783,41.3%,0.040577184,0.013406987,1.3%,0.027083112,124.40463
51000,24300,0.38397002,38.4%,0.037643898,-0.032352362,-3.2%,0.023162249,115.54375
51100,24300,0.44104555,44.1%,0.039084367,-0.000813146,-0.1%,0.02321019,136.85992
51200,24300,0.41121802,41.1%,0.03981879,-0.006717371,-0.7%,0.021814408,127.36855
51300,24300,0.45243427,45.2%,0.034175161,0.020248739,2.0%,0.020455828,176.56915
51400,24300,0.33234516,33.2%,0.016886258,0.00927421,0.9%,0.012533284,524.36865
60100,24300,0.36771941,36.8%,0.038176086,-0.010209198,-1.0%,0.01402532,110.0414
60200,24300,0.38959086,39.0%,0.030651694,0.001361186,0.1%,0.012861685,202.48061
60300,24300,0.45211142,45.2%,0.031247318,0.027565859,2.8%,0.020996474,201.11363
60400,24300,0.43129426,43.1%,0.034450836,0.04263844,4.3%,0.030288933,196.37935
60500,24300,0.32076004,32.1%,0.045488261,-0.062849425,-6.3%,0.042073295,54.65044
60800,24300,0.36211327,36.2%,0.027065413,-0.004852965,-0.5%,0.010455853,151.50313
60900,24300,0.39642242,39.6%,0.021456851,0.072582647,7.3%,0.022950729,270.58124
61000,24300,0.39013776,39.0%,0.061550349,-0.00792151,-0.8%,0.04339321,22.614685
61100,24300,0.54863739,54.9%,0.083135314,,0.0%,,47.26078
61200,24300,0.39216146,39.2%,0.080536112,0.088202924,8.8%,0.092574343,29.459221
61500,24300,0.4051266,40.5%,0.0546383,-0.014212017,-1.4%,0.035135556,61.677063
61800,24300,0.41288477,41.3%,0.037555035,0.052436937,5.2%,0.042584997,29.58703
61901,24300,0.3832317,38.3%,0.033079676,0.001716337,0.2%,0.014422643,103.66524
61902,24300,0.43548566,43.5%,0.041385829,0.053105284,5.3%,0.045648199,86.73658
62000,24300,0.44505894,44.5%,0.055712461,-0.013084974,-1.3%,0.040522594,74.134613
62100,24300,0.36764252,36.8%,0.038965657,0.091889665,9.2%,0.051064461,53.465321
62200,24300,0.38275403,38.3%,0.032531697,0.013557295,1.4%,0.022815438,121.36224
62300,24300,0.46386984,46.4%,0.067172773,-0.013302892,-1.3%,0.03264175,57.216831
62400,24300,0.36707252,36.7%,0.057898175,0.029234471,2.9%,0.062630832,52.597183
62500,24300,0.36248878,36.2%,0.038020544,0.020151172,2.0%,0.03520719,68.970932
