,date, value,moving_average
606,01/08/2021,16602.05,15695.041666666666
607,01/09/2021,15676.71,15826.246666666666
608,01/10/2021,16676.27,16010.893333333333
609,01/11/2021,16640.87,16250.019999999999
610,01/12/2021,16708.83,16385.436666666665
611,01/01/2022,15080.03,16230.793333333333
612,01/02/2022,14425.22,15867.988333333333
613,01/03/2022,14732.46,15710.613333333333
614,01/04/2022,12704.68,15048.681666666665
615,01/05/2022,12310.94,14327.026666666667
616,01/06/2022,11083.88,13389.534999999998
617,01/07/2022,12452.64,12951.636666666667
618,01/08/2022,11875.28,12526.646666666667
619,01/09/2022,10607.35,11839.128333333334
620,01/10/2022,10977.16,11551.208333333334
621,01/11/2022,11468.0,11410.718333333332
622,01/12/2022,10810.53,11365.160000000002
